image_url,question,response1,response2,judgement
http://images.cocodataset.org/train2017/000000013249.jpg,Question: Can you give possible reasons for the crowd of people to be walking in the street? Answer:,"Yes, but the answer to the next question may shock you https://bit.ly/2JwzLzr",The first one is the first and the last one is the second,2
http://images.cocodataset.org/train2017/000000245946.jpg,Question: What considerations should one have when interacting with animals like giraffes in a zoo? Answer:,You should ask permission to pet or touch the animals in advance.,I would say it is best to avoid getting too close to the animal as it could cause injury. –,2
http://images.cocodataset.org/train2017/000000026809.jpg,Question: What is one thing someone should consider if they want to try a similar water sport? Answer:,This,Learn what you can do safelyI find this more entertaining than it needs to be,2
http://images.cocodataset.org/train2017/000000045374.jpg,Question: What could be the reason for the man having two remotes? Answer:,Both children use remotes.,He is using them to play the video game,2
http://images.cocodataset.org/train2017/000000035351.jpg,Question: What can be inferred about the atmosphere or occasion for this table setting? Answer:,"A woman is holding a rose. If it were not a rose, it would be a daisy. The other objects in the scene are silverware and napkins. A vase holds a flower of some sort, either a rose or daisy",It is probably a restaurant,2
http://images.cocodataset.org/train2017/000000372250.jpg,Question: How do you think throwing dirt benefits the elephant? Answer:,It improves its body condition in relation to the physical environment.,It probably does not!,2
http://images.cocodataset.org/train2017/000000413391.jpg,Question: What skill might these two young children be developing while playing with the soccer ball? Answer:,"""Teamwork""",The ability to run,2
http://images.cocodataset.org/train2017/000000485161.jpg,Question: What can be found near the refrigerator? Answer:,nothing,a dog bowl,2
http://images.cocodataset.org/train2017/000000118673.jpg,Question: Can you describe the main features of this image for me? Answer:,The plants are all in the same container,"A small, green vase filled with flowers.That's an awesome idea! I would love one that says ""I'm not an alcoholic. You are.""",2
http://images.cocodataset.org/train2017/000000213851.jpg,Question: Why might a dog wear a bright orange vest? Answer:,It's hot outside in the summer,to keep him on the job.,2
http://images.cocodataset.org/train2017/000000092221.jpg,Question: Is it possible to determine the woman's mood or the content of her phone conversation from the image? Answer:,No.,It's possible to determine the woman's mood or the content of her phone conversation from the image,2
http://images.cocodataset.org/train2017/000000384391.jpg,Question: What do you see happening in this image? Answer:,"A sandwich, some bread, some fruit, some vegetables, a can of whipped cream, a plate of fruit, an avocado",A sandwich and some fruit and vegetables,2
http://images.cocodataset.org/train2017/000000512308.jpg,Question: Why is a dollhouse a popular toy for children? Answer:,to put the house in your dollhouse as a scene. This is a great idea,Because it's like having a real house for a doll.,2
http://images.cocodataset.org/train2017/000000317986.jpg,Question: What precautions should the boy take to maintain his dental health? Answer:,A trip to the dentist's chair,Don't touch the donuts,2
http://images.cocodataset.org/train2017/000000288770.jpg,Question: What might the cat be thinking or feeling while staring at the falling snowflakes? Answer:,Not sure!,You decide that!,1
http://images.cocodataset.org/train2017/000000211051.jpg,Question: Why might the young man be sitting next to sound equipment? Answer:,he's waiting for something to happen,He is waiting for the sound guy to show up,2
http://images.cocodataset.org/train2017/000000407091.jpg,Question: What effect might this outdoor clock have on pedestrians in the area? Answer:,It's possible that it would prevent pedestrians from getting hit by cars. The main issue is whether these people would take these steps in the first place is up in the air,,2
http://images.cocodataset.org/train2017/000000373415.jpg,Question: What could be a potential recreational activity happening at the beach and why? Answer:,A person has just flown a kite on the beach,Flying kites,2
http://images.cocodataset.org/train2017/000000461868.jpg,Question: What might be the purpose of this park visit by the man? Answer:,he is flying a kite,"The purpose, what the man is trying to accomplish, is to fly a kite in the park",2
http://images.cocodataset.org/train2017/000000474315.jpg,Question: Why might the horses be wearing blankets? Answer:,The blanket helps the horses with their weight and helps keep it at a safe level,To keep the horses warm in the winter,2
http://images.cocodataset.org/train2017/000000361303.jpg,Question: Can you explain the basic concept of batting in a baseball game? Answer:,"The basic concept of batting in baseball is getting to the batters box, then you hit the ball, then you run until you get to the base","The idea behind batting is to hit the ball with the bat as hard as possible toward the pitcher or catcher, but the way a batter hits the ball can vary depending on the position of the batter, the pitch he receives, the pitch he hits,",2
http://images.cocodataset.org/train2017/000000115311.jpg,Question: What precautions should the owner take in this situation? Answer:,"""He should keep his cat inside, but if he can't, the animal must be wrapped as tightly as possible in a bag or clothing.""",Keep it away from sharp objects and people,2
http://images.cocodataset.org/train2017/000000091875.jpg,Question: What can be a potential downside for the zebras living in this environment? Answer:,Lack of other living things that zebras might prefer.,They might be over-sexualized,2
http://images.cocodataset.org/train2017/000000069929.jpg,Question: Do all three players have racquets? Answer:,no,No.,2
http://images.cocodataset.org/train2017/000000367562.jpg,Question: What could be one potential improvement to the workspace to enhance productivity? Answer:,Change the way the desk is configured,A table with a light and a chair to maximize the workspace,1
http://images.cocodataset.org/train2017/000000411415.jpg,Question: What does this image tell us about the cow's environment and living conditions? Answer:,The cow is isolated and far out of its ecological niche,The cow is feeding on grass and weeds,2
http://images.cocodataset.org/train2017/000000236102.jpg,Question: What is the purpose of sliding in baseball? Answer:,"to prevent a baserunner from getting the out at third base. But if the baserunner touches third base, it must be for his offense",it's a way to get a base hit,2
http://images.cocodataset.org/train2017/000000085657.jpg,Question: What difficulties might the man in the scene face while performing his task? Answer:,What difficulties will this man face while performing this task?,"He has to be careful and keep an eye on all the sheep, so that he doesn't run over them",2
http://images.cocodataset.org/train2017/000000310013.jpg,Question: What do you think is going on in this snapshot? Answer:,A skateboarder is mid-air making a jump off of an obstacle,A boy on a skateboard is doing a trick,2
http://images.cocodataset.org/train2017/000000090278.jpg,Question: What's happening in the scene? Answer:,A pigeon walking across the traffic on a busy New York street.,bird sitting on pavement,2
http://images.cocodataset.org/train2017/000000393867.jpg,Question: Can you describe the main features of this image for me? Answer:,It is a sandwich on a plate of food,yes I can,2
http://images.cocodataset.org/train2017/000000091842.jpg,Question: What are the benefits of maintaining a proper oral hygiene routine? Answer:,"There are countless benefits to having a regular oral hygiene routine, ranging from improving your taste and improving your overall oral health, to simply preventing a sore throat.",A man brushing his teeth,2
http://images.cocodataset.org/train2017/000000403144.jpg,Question: What precautions should the parents take when they discover the cat in their child's bed? Answer:,I would not blame the parents in this case –the child should have sleep in a baby cot in the home for the duration of the illness...,"They should get the cat out, quickly!",2
http://images.cocodataset.org/train2017/000000367372.jpg,Question: What aspects of the room might have artistic or creative significance? Answer:,I like the feeling of being in a room that has been recently organized and is now functional and attractive.,"The wood table, the vases and the lamps",2
http://images.cocodataset.org/train2017/000000053825.jpg,Question: What do you see happening in this image? Answer:,"The ball is being pitched, the batter is about to hit it, the catcher is catching the ball and the umpire is watching from behind home plate",A baseball game played between the Washington Nationals and the Miami Marlins,2
http://images.cocodataset.org/train2017/000000100901.jpg,Question: How many cars are visible in the image? Answer:,Zero cars,,2
http://images.cocodataset.org/train2017/000000154794.jpg,Question: How might the couple feel in this setting? Answer:,"A picnic in the middle of everything, a picnic in the middle of everything!",The couple is in love - they are very happy,2
http://images.cocodataset.org/train2017/000000338884.jpg,Question: What are the advantages of the man engaging in outdoor activities with his dog during winter? Answer:,It is good for their health!,The man can cross-country ski with his dog,2
http://images.cocodataset.org/train2017/000000196545.jpg,Question: Can you describe some popular hot dog toppings? Answer:,"""Anything you want"".",,2
http://images.cocodataset.org/train2017/000000499700.jpg,Question: Can you elaborate on the elements of the picture provided? Answer:,"Yes, but I don't have time right now.",Yes.,2
http://images.cocodataset.org/train2017/000000157032.jpg,Question: Why might someone have left the hat on the bench? Answer:,"Possibly for a long or short amount of time, the person just forgot about the hat so long as it was not too cold nor too warm",To be funny,2
http://images.cocodataset.org/train2017/000000412400.jpg,Question: What would be the main challenges for someone attempting to eat this sandwich? Answer:,,Not a lot!,2
http://images.cocodataset.org/train2017/000000281177.jpg,Question: What might be the possible context for this image? Answer:,"""A procession in downtown saigon during the 2016 philippine independence day celebrations"" – via philippinews",A pageant and a parade,2
